"DV","Model","ParamType","Variable","Estimate","SE","z_value","p_value","stars","CI_lower","CI_upper","n_indiv","n_days","Variable_Clean"
"Apps (Unique Count)","Full (Baseline)","Fixed Effects (Location)","d_spain2",4.25892,0.52113,8.17244,0,"***",3.2375052,5.2803348,2848,35889,"Spain 2 Study"
"Apps (Unique Count)","Full (Baseline)","Fixed Effects (Location)","d_smart1",3.5795,0.69463,5.15313,0,"***",2.2180252,4.9409748,2848,35889,"Study Smart W1"
"Apps (Unique Count)","Full (Baseline)","Fixed Effects (Location)","d_smart2",3.03535,0.62064,4.89071,0,"***",1.8188956,4.2518044,2848,35889,"Study Smart W2"
"Apps (Unique Count)","Full (Baseline)","Fixed Effects (Location)","d_smart3",4.0909,0.54592,7.49353,0,"***",3.0208968,5.1609032,2848,35889,"Study Smart W3"
"Apps (Unique Count)","Full (Baseline)","Fixed Effects (Location)","d_yannik",3.72184,0.47642,7.81203,0,"***",2.7880568,4.6556232,2848,35889,"Yannik Study"
"Apps (Unique Count)","Full (Baseline)","Fixed Effects (Location)","d_disconn",4.43869,0.48311,9.18773,0,"***",3.4917944,5.3855856,2848,35889,"Disconnect Study"
"Apps (Unique Count)","Full (Baseline)","Fixed Effects (Location)","d_emotion",3.8713,0.5103,7.58626,0,"***",2.871112,4.871488,2848,35889,"eMotion Study"
"Apps (Unique Count)","Full (Baseline)","Fixed Effects (Location)","d_kling",3.77993,0.60896,6.20722,0,"***",2.5863684,4.9734916,2848,35889,"Klingelhoefer Study"
"Apps (Unique Count)","Full (Baseline)","Fixed Effects (Location)","age_grandC",-0.09268,0.0093,-9.96624,0,"***",-0.110908,-0.074452,2848,35889,"Age (Centered)"
"Apps (Unique Count)","Full (Baseline)","Within-Person Variance (Scale)","weekend",0.09148,0.01932,4.73577,0,"***",0.0536128,0.1293472,2848,35889,"Weekend (vs. Weekday)"
"Apps (Unique Count)","Full (Baseline)","Within-Person Variance (Scale)","genderfemale",-0.09612,0.0337,-2.85244,0.00434,"**",-0.162172,-0.030068,2848,35889,"Gender (Female vs. Male)"
"Apps (Unique Count)","Full (Baseline)","Within-Person Variance (Scale)","genderother",0.24277,0.218,1.1136,0.26545,"",-0.18451,0.67005,2848,35889,"Gender (Other vs. Male)"
"Apps (Unique Count)","Full (Baseline)","Within-Person Variance (Scale)","age_grandC",-0.00332,0.00125,-2.67047,0.00757,"**",-0.00577,-0.00087,2848,35889,"Age (Centered)"
