"DV","Model","ParamType","Variable","Estimate","SE","z_value","p_value","stars","CI_lower","CI_upper","n_indiv","n_days","Variable_Clean"
"Apps (Unique Count)","Full (Baseline)","Fixed Effects (Location)","d_spain2",4.30512,0.51725,8.32308,0,"***",3.29131,5.31893,2848,35889,"Spain 2 Study"
"Apps (Unique Count)","Full (Baseline)","Fixed Effects (Location)","d_smart1",3.61757,0.69071,5.23749,0,"***",2.2637784,4.9713616,2848,35889,"Study Smart W1"
"Apps (Unique Count)","Full (Baseline)","Fixed Effects (Location)","d_smart2",3.07193,0.61668,4.98139,0,"***",1.8632372,4.2806228,2848,35889,"Study Smart W2"
"Apps (Unique Count)","Full (Baseline)","Fixed Effects (Location)","d_smart3",4.11317,0.54197,7.58937,0,"***",3.0509088,5.1754312,2848,35889,"Study Smart W3"
"Apps (Unique Count)","Full (Baseline)","Fixed Effects (Location)","d_yannik",3.73469,0.47037,7.93993,0,"***",2.8127648,4.6566152,2848,35889,"Yannik Study"
"Apps (Unique Count)","Full (Baseline)","Fixed Effects (Location)","d_disconn",4.53826,0.47788,9.49663,0,"***",3.6016152,5.4749048,2848,35889,"Disconnect Study"
"Apps (Unique Count)","Full (Baseline)","Fixed Effects (Location)","d_emotion",3.94681,0.50529,7.81099,0,"***",2.9564416,4.9371784,2848,35889,"eMotion Study"
"Apps (Unique Count)","Full (Baseline)","Fixed Effects (Location)","d_kling",3.82008,0.60449,6.31952,0,"***",2.6352796,5.0048804,2848,35889,"Klingelhoefer Study"
"Apps (Unique Count)","Full (Baseline)","Fixed Effects (Location)","age_grandCentere",-0.09352,0.00931,-10.04825,0,"***",-0.1117676,-0.0752724,2848,35889,"Age (Centered)"
"Apps (Unique Count)","Full (Baseline)","Within-Person Variance (Scale)","weekend",0.08468,0.01965,4.30903,2e-05,"***",0.046166,0.123194,2848,35889,"Weekend (vs. Weekday)"
"Apps (Unique Count)","Full (Baseline)","Within-Person Variance (Scale)","genderfemale",-0.09562,0.03427,-2.7901,0.00527,"**",-0.1627892,-0.0284508,2848,35889,"Gender (Female vs. Male)"
"Apps (Unique Count)","Full (Baseline)","Within-Person Variance (Scale)","genderother",0.29479,0.22526,1.30864,0.19066,"",-0.1467196,0.7362996,2848,35889,"Gender (Other vs. Male)"
"Apps (Unique Count)","Full (Baseline)","Within-Person Variance (Scale)","age_grandCentere",-0.0032,0.00131,-2.44691,0.01441,"*",-0.0057676,-0.0006324,2848,35889,"Age (Centered)"
